id,signal_id,strategy_id,user_id,symbol,isin,exchange,order_type,order_side,product_type,qty,filled_qty,limit_price,trigger_price,avg_fill_price,broker_order_id,broker_status,indira_symbol,exchange_token,status,retry_count,max_retries,last_error,parent_order_id,created_at,placed_at,filled_at,cancelled_at,updated_at,trade_date,exchange_error_code,exchange_error_tag,reject_category,algo_id,broker_trigger_price,broker_limit_price
8844,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r98,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 05:51:18.161212+00,,,,2026-08-22 05:51:18.168963+00,2026-08-24,,,,,,
8845,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r98,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 05:51:18.175377+00,,,,2026-08-22 05:51:18.181527+00,2026-08-24,,,,,,
8846,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r99,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 05:56:18.16142+00,,,,2026-08-22 05:56:18.170581+00,2026-08-24,,,,,,
8847,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r99,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 05:56:18.176551+00,,,,2026-08-22 05:56:18.183728+00,2026-08-24,,,,,,
8848,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r100,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 06:01:18.168024+00,,,,2026-08-22 06:01:18.175811+00,2026-08-24,,,,,,
8849,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r100,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 06:01:18.180209+00,,,,2026-08-22 06:01:18.186688+00,2026-08-24,,,,,,
8850,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r101,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 06:06:18.167078+00,,,,2026-08-22 06:06:18.175895+00,2026-08-24,,,,,,
8851,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r101,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 06:06:18.18216+00,,,,2026-08-22 06:06:18.190977+00,2026-08-24,,,,,,
8852,151304e1-2e63-5672-b12c-7d71b6290b6f-amo-20260824,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,IPCALAB,INE571A01038,NSE,SL_SELL_AMO,SELL,CNC,11,0,1562.50,1567.20,,,,STK_IPCALAB_EQ_NSE_1633,1633,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,24,2026-08-22 06:11:18.16692+00,,,,2026-08-22 06:11:18.203794+00,2026-08-24,,,,,,
8853,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r102,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 06:11:18.223743+00,,,,2026-08-22 06:11:18.231347+00,2026-08-24,,,,,,
8854,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r102,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 06:11:18.236228+00,,,,2026-08-22 06:11:18.242919+00,2026-08-24,,,,,,
8855,151304e1-2e63-5672-b12c-7d71b6290b6f-amo-20260824-r1,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,IPCALAB,INE571A01038,NSE,SL_SELL_AMO,SELL,CNC,11,0,1562.50,1567.20,,,,STK_IPCALAB_EQ_NSE_1633,1633,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,24,2026-08-22 06:16:18.217848+00,,,,2026-08-22 06:16:18.229551+00,2026-08-24,,,,,,
8856,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r103,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 06:16:18.245388+00,,,,2026-08-22 06:16:18.252079+00,2026-08-24,,,,,,
8857,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r103,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 06:16:18.25663+00,,,,2026-08-22 06:16:18.262823+00,2026-08-24,,,,,,
8858,151304e1-2e63-5672-b12c-7d71b6290b6f-amo-20260824-r2,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,IPCALAB,INE571A01038,NSE,SL_SELL_AMO,SELL,CNC,11,0,1562.50,1567.20,,,,STK_IPCALAB_EQ_NSE_1633,1633,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,24,2026-08-22 06:21:18.155437+00,,,,2026-08-22 06:21:18.166835+00,2026-08-24,,,,,,
8859,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r104,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 06:21:18.180896+00,,,,2026-08-22 06:21:18.186841+00,2026-08-24,,,,,,
8860,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r104,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 06:21:18.190861+00,,,,2026-08-22 06:21:18.196513+00,2026-08-24,,,,,,
8861,151304e1-2e63-5672-b12c-7d71b6290b6f-amo-20260824-r3,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,IPCALAB,INE571A01038,NSE,SL_SELL_AMO,SELL,CNC,11,0,1562.50,1567.20,,NYMZX0028BF8,,STK_IPCALAB_EQ_NSE_1633,1633,CANCELLED,0,3,,24,2026-08-22 06:25:25.458883+00,2026-08-22 06:25:25.593444+00,,2026-08-22 06:31:18.195862+00,2026-08-22 06:31:18.195862+00,2026-08-24,,,,,1567.20,1562.50
8862,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r105,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 06:25:25.607717+00,,,,2026-08-22 06:25:25.613915+00,2026-08-24,,,,,,
8863,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r105,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 06:25:25.617954+00,,,,2026-08-22 06:25:25.623788+00,2026-08-24,,,,,,
8864,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r106,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 06:26:18.254637+00,,,,2026-08-22 06:26:18.262216+00,2026-08-24,,,,,,
8865,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r106,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 06:26:18.268152+00,,,,2026-08-22 06:26:18.274861+00,2026-08-24,,,,,,
8866,47dab5b0-65bf-537b-a4d9-cab56ad1819a-amo-20260824-r8,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,ALIVUS,INE03Q201024,NSE,SL_SELL_AMO,SELL,CNC,14,0,1124.30,1127.70,,NYMZX0028CF8,,STK_ALIVUS_EQ_NSE_5265,5265,SL_PLACED,0,3,,2,2026-08-22 06:31:18.248801+00,2026-08-22 06:31:18.311777+00,,,2026-08-22 08:55:04.154972+00,2026-08-24,,,,,1127.70,1124.30
8867,3ae62ec2-38d5-55ba-aa55-be76ca976960-amo-20260824-r8,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,APARINDS,INE372A01015,NSE,SL_SELL_AMO,SELL,CNC,1,0,13730.00,13771.00,,NYMZX0028DF8,,STK_APARINDS_EQ_NSE_11491,11491,SL_PLACED,0,3,,7301,2026-08-22 06:31:18.315201+00,2026-08-22 06:31:18.359622+00,,,2026-08-22 08:55:04.153776+00,2026-08-24,,,,,13771.00,13730.00
8868,d63fa3a8-d0e6-551b-9d25-7dac87a781ac-amo-20260824-r8,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,ASKAUTOLTD,INE491J01022,NSE,SL_SELL_AMO,SELL,CNC,30,0,533.35,534.95,,NYMZX0028EF8,,STK_ASKAUTOLTD_EQ_NSE_20152,20152,SL_PLACED,0,3,,4,2026-08-22 06:31:18.362786+00,2026-08-22 06:31:18.415921+00,,,2026-08-22 08:55:04.152512+00,2026-08-24,,,,,534.95,533.35
8869,bb193fed-5262-5c16-94bc-ae3cacd6b2fc-amo-20260824-r8,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,CUB,INE491A01021,NSE,SL_SELL_AMO,SELL,CNC,92,0,179.46,180.00,,NYMZX0028FF8,,STK_CUB_EQ_NSE_5701,5701,SL_PLACED,0,3,,1,2026-08-22 06:31:18.419067+00,2026-08-22 06:31:18.460858+00,,,2026-08-22 08:55:04.151203+00,2026-08-24,,,,,180.00,179.46
8870,2d94bb63-51ac-5c7f-a55c-5d1336926475-amo-20260824-r8,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,DEEPINDS,INE0FHS01024,NSE,SL_SELL_AMO,SELL,CNC,29,0,567.25,568.95,,NYMZX00290F8,,STK_DEEPINDS_EQ_NSE_3292,3292,SL_PLACED,0,3,,8,2026-08-22 06:31:18.464553+00,2026-08-22 06:31:18.523525+00,,,2026-08-22 08:55:04.149909+00,2026-08-24,,,,,568.95,567.25
8871,4116dfc1-c7d8-534f-aa65-0a8da3085437-amo-20260824-r8,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,FIEMIND,INE737H01014,NSE,SL_SELL_AMO,SELL,CNC,7,0,2109.70,2116.00,,NYMZX00291F8,,STK_FIEMIND_EQ_NSE_13710,13710,SL_PLACED,0,3,,13,2026-08-22 06:31:18.531806+00,2026-08-22 06:31:18.584834+00,,,2026-08-22 08:55:04.148543+00,2026-08-24,,,,,2116.00,2109.70
8872,79a9cdcf-9716-5c57-aaae-478a00d34d7b-amo-20260824-r8,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,FILATEX,INE816B01035,NSE,SL_SELL_AMO,SELL,CNC,239,0,76.57,76.80,,NYMZX00292F8,,STK_FILATEX_EQ_NSE_24532,24532,SL_PLACED,0,3,,22,2026-08-22 06:31:18.588631+00,2026-08-22 06:31:18.643813+00,,,2026-08-22 08:55:04.147183+00,2026-08-24,,,,,76.80,76.57
8873,caabd376-da18-5954-a268-b2a97930f3bc-amo-20260824-r8,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,GNA,INE934S01014,NSE,SL_SELL_AMO,SELL,CNC,36,0,467.40,468.80,,NYMZX00293F8,,STK_GNA_EQ_NSE_18571,18571,SL_PLACED,0,3,,29,2026-08-22 06:31:18.647224+00,2026-08-22 06:31:18.705705+00,,,2026-08-22 08:55:04.145885+00,2026-08-24,,,,,468.80,467.40
8874,b4d21f2e-de1f-5dfa-81cc-f7970ebaa3fa-amo-20260824-r8,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,HSCL,INE019C01026,NSE,SL_SELL_AMO,SELL,CNC,26,0,629.00,630.90,,NYMZX00294F8,,STK_HSCL_EQ_NSE_14334,14334,SL_PLACED,0,3,,9,2026-08-22 06:31:18.709266+00,2026-08-22 06:31:18.790066+00,,,2026-08-22 08:55:04.144551+00,2026-08-24,,,,,630.90,629.00
8875,d774e376-ef6b-56b4-ba40-44cf930e7bda-amo-20260824-r12,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,INDNIPPON,INE092B01025,NSE,SL_SELL_AMO,SELL,CNC,17,0,936.30,939.10,,,,STK_INDNIPPON_EQ_NSE_4747,4747,REJECTED,0,3,"place order request failed: HTTP error 429: {""error"":""algo_id_required"",""message"":""Order rate exceeded 10\/sec. Provide a registered X-Algo-Id header to continue.""}
",15,2026-08-22 06:31:18.795074+00,,,,2026-08-22 06:31:18.799435+00,2026-08-24,,,,,,
8876,f20b8ef5-88aa-5efc-8cf7-b3f971a91234-amo-20260824-r12,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,IOLCP,INE485C01029,NSE,SL_SELL_AMO,SELL,CNC,121,0,139.34,139.76,,,,STK_IOLCP_EQ_NSE_20413,20413,REJECTED,0,3,"place order request failed: HTTP error 429: {""error"":""algo_id_required"",""message"":""Order rate exceeded 10\/sec. Provide a registered X-Algo-Id header to continue.""}
",20,2026-08-22 06:31:18.802582+00,,,,2026-08-22 06:31:18.806681+00,2026-08-24,,,,,,
8877,151304e1-2e63-5672-b12c-7d71b6290b6f-amo-20260824-r4,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,IPCALAB,INE571A01038,NSE,SL_SELL_AMO,SELL,CNC,11,0,1562.50,1567.20,,,,STK_IPCALAB_EQ_NSE_1633,1633,REJECTED,0,3,"place order request failed: HTTP error 429: {""error"":""algo_id_required"",""message"":""Order rate exceeded 10\/sec. Provide a registered X-Algo-Id header to continue.""}
",24,2026-08-22 06:31:18.809698+00,,,,2026-08-22 06:31:18.813588+00,2026-08-24,,,,,,
8878,f7159760-cc4e-5812-b3eb-ccf698e44f41-amo-20260824-r14,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,MPSLTD,INE943D01017,NSE,SL_SELL_AMO,SELL,CNC,7,0,2368.90,2376.00,,,,STK_MPSLTD_EQ_NSE_10578,10578,REJECTED,0,3,"place order request failed: HTTP error 429: {""error"":""algo_id_required"",""message"":""Order rate exceeded 10\/sec. Provide a registered X-Algo-Id header to continue.""}
",19,2026-08-22 06:31:18.818928+00,,,,2026-08-22 06:31:18.824094+00,2026-08-24,,,,,,
8879,5bc74442-194a-5c6c-bf18-56a595049277-amo-20260824-r14,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,NRBBEARING,INE349A01021,NSE,SL_SELL_AMO,SELL,CNC,42,0,394.80,396.00,,,,STK_NRBBEARING_EQ_NSE_7553,7553,REJECTED,0,3,"place order request failed: HTTP error 429: {""error"":""algo_id_required"",""message"":""Order rate exceeded 10\/sec. Provide a registered X-Algo-Id header to continue.""}
",26,2026-08-22 06:31:18.827516+00,,,,2026-08-22 06:31:18.831195+00,2026-08-24,,,,,,
8880,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r107,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,"place order request failed: HTTP error 429: {""error"":""algo_id_required"",""message"":""Order rate exceeded 10\/sec. Provide a registered X-Algo-Id header to continue.""}
",5086,2026-08-22 06:31:18.83654+00,,,,2026-08-22 06:31:18.840343+00,2026-08-24,,,,,,
8881,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r107,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,"place order request failed: HTTP error 429: {""error"":""algo_id_required"",""message"":""Order rate exceeded 10\/sec. Provide a registered X-Algo-Id header to continue.""}
",5087,2026-08-22 06:31:18.843203+00,,,,2026-08-22 06:31:18.846875+00,2026-08-24,,,,,,
8882,d774e376-ef6b-56b4-ba40-44cf930e7bda-amo-20260824-r13,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,INDNIPPON,INE092B01025,NSE,SL_SELL_AMO,SELL,CNC,17,0,936.30,939.10,,NYMZX00299F8,,STK_INDNIPPON_EQ_NSE_4747,4747,SL_PLACED,0,3,,15,2026-08-22 06:36:18.284068+00,2026-08-22 06:36:18.334593+00,,,2026-08-22 08:55:04.1433+00,2026-08-24,,,,,939.10,936.30
8883,f20b8ef5-88aa-5efc-8cf7-b3f971a91234-amo-20260824-r13,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,IOLCP,INE485C01029,NSE,SL_SELL_AMO,SELL,CNC,121,0,139.34,139.76,,NYMZX0029AF8,,STK_IOLCP_EQ_NSE_20413,20413,SL_PLACED,0,3,,20,2026-08-22 06:36:18.338919+00,2026-08-22 06:36:18.3937+00,,,2026-08-22 08:55:04.141915+00,2026-08-24,,,,,139.76,139.34
8884,151304e1-2e63-5672-b12c-7d71b6290b6f-amo-20260824-r5,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,IPCALAB,INE571A01038,NSE,SL_SELL_AMO,SELL,CNC,11,0,1562.50,1567.20,,NYMZX0029BF8,,STK_IPCALAB_EQ_NSE_1633,1633,SL_PLACED,0,3,,24,2026-08-22 06:36:18.397629+00,2026-08-22 06:36:18.449387+00,,,2026-08-22 08:55:04.140608+00,2026-08-24,,,,,1567.20,1562.50
8885,f7159760-cc4e-5812-b3eb-ccf698e44f41-amo-20260824-r15,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,MPSLTD,INE943D01017,NSE,SL_SELL_AMO,SELL,CNC,7,0,2368.90,2376.00,,NYMZX0029CF8,,STK_MPSLTD_EQ_NSE_10578,10578,SL_PLACED,0,3,,19,2026-08-22 06:36:18.45627+00,2026-08-22 06:36:18.519224+00,,,2026-08-22 08:55:04.139318+00,2026-08-24,,,,,2376.00,2368.90
8886,5bc74442-194a-5c6c-bf18-56a595049277-amo-20260824-r15,a6cb5b08-dddd-4e54-ad2d-d5ae55edb3c9,S4450,NRBBEARING,INE349A01021,NSE,SL_SELL_AMO,SELL,CNC,42,0,394.80,396.00,,NYMZX0029DF8,,STK_NRBBEARING_EQ_NSE_7553,7553,SL_PLACED,0,3,,26,2026-08-22 06:36:18.523866+00,2026-08-22 06:36:18.570123+00,,,2026-08-22 08:55:04.13792+00,2026-08-24,,,,,396.00,394.80
